trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.3, 'e': 0.56552543869953709}",20,0,-60.875705126895376,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.3, 'e': 0.55989836656540204}",20,6,-25.181186750028303,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.5543272847345071}",20,8,-39.008726266193364,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.3, 'e': 0.5488116360940265}",30,21,15.286347854466243,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.3, 'e': 0.54335086907449981}",30,1,-102.21651923578935,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 1}",1
62,False,"{'a': 0.3, 'e': 0.53794443759467447}",30,11,-8.223446976178614,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.53259180100689718}",20,16,6.833425574420755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.3, 'e': 0.52729242404304855}",20,6,-18.59309010882286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.3, 'e': 0.52204577676101604}",25,10,-48.99769156218287,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.3, 'e': 0.51685133449169918}",25,13,-41.413609953227436,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.3, 'e': 0.51170857778654244}",30,5,-80.88756599954321,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.50661699236558955}",20,8,-32.45061268137278,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.3, 'e': 0.50157606906605545}",25,19,10.753382050542307,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.49658530379140947}",20,0,-95.56535930398488,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
71,False,"{'a': 0.3, 'e': 0.4916441974609651}",20,0,-4.940218522920954,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.3, 'e': 0.48675225595997168}",30,0,-61.546303645722865,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.3, 'e': 0.48190899009020244}",20,14,11.90596461805325,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.47711391552103438}",25,14,5.9116619063671365,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.47236655274101469}",20,10,3.4166783285310283,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.46766642700990924}",20,2,-47.21528748551794,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.3, 'e': 0.46301306831122807}",20,11,-3.474107309672756,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.45840601130522352}",25,17,-7.364742792133064,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.45384479528235583}",25,6,-0.01616785128728515,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
