trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.7, 'e': 0.42105155262732119}",30,10,-12.625185770487846,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.418951549247639}",25,3,-32.0902815825519,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.41686201967850839}",25,0,-93.0966264315449,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
176,False,"{'a': 0.7, 'e': 0.41478291168158138}",25,15,15.005189413046468,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.41271417327904969}",20,9,18.598182119094158,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.4106557527523455}",25,9,-35.764637659721096,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.40860759864084845}",35,16,-60.336292774310884,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
180,False,"{'a': 0.7, 'e': 0.40656965974059911}",25,12,-20.275613037722145,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.40454188510301881}",25,11,-30.29939293621673,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.7, 'e': 0.40252422403363597}",30,18,-2.7129870249249466,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.40051662609081878}",20,15,7.285490660459476,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
